rest_name,rest_address,time_open,price,avg_score,quality_score,price_score,service_score,space_score,location_score,link
Ốc Diệu,"26/50/52 Đỗ Quang Đẩu, Quận 1, TP. HCM",12:30 - 21:00,30.000 - 60.000,6.7,7.8,7.4,7.2,5.8,5.4,https://www.foody.vn/ho-chi-minh/oc-dieu
Bánh Mì PewPew - Út Tịch,"66 Út Tịch, P. 4, Quận Tân Bình, TP. HCM",06:00 - 23:00,20.000 - 30.000,6.7,6.7,6.5,6.7,6.7,6.7,https://www.foody.vn/ho-chi-minh/banh-mi-pew-pew
Baoz Dimsum Restaurant - Nguyễn Tri Phương,"88 Nguyễn Tri Phương, P. 7, Quận 5, TP. HCM",06:30 - 22:45,50.000 - 200.000,7.0,7.3,7.0,6.5,7.3,7.0,https://www.foody.vn/ho-chi-minh/baoz-dimsum-resraurant
Bánh Mì PewPew - Đường D5,"84 Đường D5, P. 25, Quận Bình Thạnh, TP. HCM",06:00 - 21:30,20.000 - 30.000,,6.0,5.7,5.9,6.0,6.2,https://www.foody.vn/ho-chi-minh/banh-mi-pewpew-duong-d5
Baoz Dimsum Restaurant - The Garden Mall,"Tầng Trệt,  Tầng Trệt The Garden Mall, 190 Hồng Bàng, P. 12, Quận 5, TP. HCM",09:00 - 23:00,50.000 - 200.000,6.7,6.9,6.7,6.1,6.7,7.1,https://www.foody.vn/ho-chi-minh/baoz-dimsum-restaurant-the-garden-mall
A Tùng - Bánh Mì Bò Nướng Bơ Cambodia - Cống Quỳnh,"171 Cống Quỳnh, Quận 1, TP. HCM",14:00 - 21:00,5.000 - 15.000,7.4,7.8,7.8,7.5,6.7,7.1,https://www.foody.vn/ho-chi-minh/a-tung-banh-mi-bo-nuong-bo-cambodia-cong-quynh
Baoz Dimsum Restaurant - Lê Đại Hành,"299 Lê Đại Hành, P. 13, Quận 11, TP. HCM",07:00 - 21:00,50.000 - 200.000,_._,--,--,--,--,--,https://www.foody.vn/ho-chi-minh/baoz-dimsum-restaurant-le-dai-hanh
Buzza Pizza - Nguyễn Thị Thập,"Tầng 1,  Tầng 1, 51 - 53 Nguyễn Thị Thập, P. Tân Hưng, Quận 7, TP. HCM",10:00 - 21:00,49.000 - 159.000,8.0,8.1,7.8,8.0,8.0,8.1,https://www.foody.vn/ho-chi-minh/buzza-pizza-nguyen-thi-thap
A Tùng - Bánh Mì Bò Nướng Bơ Cambodia - Lê Hồng Phong,"837 Lê Hồng Phong, P. 12, Quận 10, TP. HCM",09:00 - 22:30,5.000 - 15.000,6.3,6.5,6.5,6.2,5.9,6.2,https://www.foody.vn/ho-chi-minh/a-tung-banh-mi-bo-nuong-bo-cambodia-le-hong-phong
San Fu Lou - Ẩm Thực Quảng Đông - Lê Lai,"Tầng Trệt, AB Tower, 76A Lê Lai, P. Bến Thành, Quận 1, TP. HCM",07:00 - 03:00,30.000 - 190.000,7.8,7.9,6.9,7.8,8.2,8.3,https://www.foody.vn/ho-chi-minh/nha-hang-san-fu-lou
